ПРИНЦИП ДРОБЛЕНИЯ,а) Разделить объект на независимые части.|б) Выполнить объект разборным.|в) Увеличить степень дробления объекта.
ПРИНЦИП ВЫНЕСЕНИЯ,"Отделить от объекта ""мешающую"" часть (""мешающее"" свойство) или, наоборот, выделить единственно нужную часть (нужное свойство)."
ПРИНЦИП МЕСТНОГО КАЧЕСТВА,"а) Перейти от одной структуры объекта (или внешней среды, внешнего воздействия) к неоднородной.|б) Разные части объекта должны иметь (выполнять) различные функции.|в) Каждая часть объекта должна находиться в условиях, наиболее благоприятных для ее работы."
ПРИНЦИП АССИМЕТРИИ,"Перейти от симметричной формы объекта к асимметричной.|а) Перейти от симметричной формы объекта к асимметричной.|б) Если объект асимметричен, увеличить степень асимметрии.)|Машины рождаются симметричными. Это их традиционная форма. Поэтому многие задачи, трудные по отношению к симметричным объектам, легко решаются нарушением симметрии."
ПРИНЦИП ОБЪЕДИНЕНИЯ,а) Соединить однородные или предназначенные для смежных операций объекты.|б) Объединить во времени однородные или смежные операции.
ПРИНЦИП УНИВЕРСАЛЬНОСТИ,"Объект выполняет несколько разных функций, благодаря чему отпадает необходимость в других объектах."
"ПРИНЦИП ""МАТРЕШКИ""","а) Один объект размещен внутри другого объекта, который, в свою очередь, находится внутри третьего и т. д.;|б) Один объект проходит сквозь полость в другом объекте."
ПРИНЦИП АНТИВЕСА,"а) Компенсировать вес объекта соединением с другими объектами, обладающими подъемной силой.|б) Компенсировать вес объекта взаимодействием со средой (за счет аэро-, гидродинамических и других сил)."
ПРИНЦИП ПРЕДВАРИТЕЛЬНОГО НАПРЯЖЕНИЯ,"Заранее придать объекту напряжения, противоположные недопустимым или нежелательным рабочим напряжениям.|а) Заранее придать объекту напряжения, противоположные недопустимым или нежелательным рабочим напряжениям.|б) Если по условиям задачи необходимо совершить какое-то действие, надо заранее совершить антидействие.)"
ПРИНЦИП ПРЕДВАРИТЕЛЬНОГО ИСПОЛНЕНИЯ,"а) Заранее выполнить требуемое изменение объекта (полностью или хотя бы частично).|б) Заранее расставить объекты так, чтобы они могли вступить в действие с наиболее удобного места и без затрат времени на доставку."
"ПРИНЦИП ""ЗАРАНЕЕ ПОДЛОЖЕННОЙ ПОДУШКИ""",Компенсировать относительно невысокую надежность объекта заранее подготовленными аварийными средствами.
ПРИНЦИП ЭКВИПОТЕНЦИАЛЬНОСТИ,"Изменить условия работы так, чтобы не приходилось поднимать или опускать объект."
"ПРИНЦИП ""НАОБОРОТ""","а) Вместо действия, диктуемого условиями задачи, осуществить обратное действие (например, не охлаждать объект, а нагревать).|б) Сделать движущуюся часть объекта (или внешней среды) неподвижной, а неподвижную - движущейся.|в) Перевернуть объект ""вверх ногами""."
ПРИНЦИП СФЕРОИДАЛЬНОСТИ,"а) Перейти от прямолинейных частей объекта к криволинейным, от плоских поверхностей к сферическим, от частей, выполненных в виде куба или параллелепипеда, к шаровым конструкциям.|б) Использовать ролики, шарики, спирали.|в) Перейти к вращательному движению, использовать центробежную силу."
ПРИНЦИП ДИНАМИЧНОСТИ,"а) Характеристики объекта (или внешней среды) должны меняться так, чтобы быть оптимальными на каждом этапе работы.|б) Разделить объект на части, способные перемещаться относительно друг друга."
ПРИНЦИП ЧАСТИЧНОГО ИЛИ ИЗБЫТОЧНОГО РЕШЕНИЯ,"Если трудно получить 100% требуемого эффекта, надо получить ""чуть меньше"" или ""чуть больше"". Задача при этом может существенно упроститься."
ПРИНЦИП ПЕРЕХОДА В ДРУГОЕ ИЗМЕРЕНИЕ,"а) Трудности, связанные с движением (или размещением) объекта по линии, устраняются, если объект приобретает возможность перемещаться в двух измерениях (то есть на плоскости). Соответственно, задачи, связанные с движением (или размещением) объектов в одной плоскости, устраняются при переходе к пространству трех измерений.|б) Многоэтажная компоновка объектов вместо одноэтажной.|в) Наклонить объект или положить его ""набок"".|г) Использовать обратную сторону данной площади.|д) Использовать оптические потоки, падающие на соседнюю площадь или на обратную сторону имеющейся площади."
ИСПОЛЬЗОВАНИЕ МЕХАНИЧЕСКИХ КОЛЕБАНИЙ,"а) Привести объект в колебательное движение.|б) Если такое движение уже совершается, увеличить его частоту (вплоть до ультразвуковой).|в) Использовать резонансную частоту.|г) Применить вместо механических вибраторов пьезовибраторы.|д) Использовать ультразвуковые колебания в сочетании с электромагнитными полями."
ПРИНЦИП ПЕРИОДИЧЕСКОГО ДЕЙСТВИЯ,а) Перейти от непрерывного действия к периодическому (импульсному).|б) Если действие уже осуществляется периодически - изменить периодичность.|в) Использовать паузы между импульсами для другого действия.
ПРИНЦИП НЕПРЕРЫВНОСТИ ПОЛЕЗНОГО ДЕЙСТВИЯ,а) Вести работу непрерывно (все части объекта должны все время работать с полной нагрузкой).|б) Устранить холостые и промежуточные ходы.
ПРИНЦИП ПРОСКОКА,"Вести процесс или отдельные его этапы (например, вредные или опасные) на большой скорости."
"ПРИНЦИП ""ОБРАТИТЬ ВРЕД В ПОЛЬЗУ""","а) Использовать вредные факторы (в частности, вредное воздействие среды) для получения положительного эффекта.|б) Устранить вредный фактор за счет сложения с другим вредным фактором.|в) Усилить вредный фактор до такой степени, чтобы он перестал быть вредным."
ПРИНЦИП ОБРАТНОЙ СВЯЗИ,а) Ввести обратную связь.|б) Если обратная часть есть - изменить ее.
"ПРИНЦИП ""ПОСРЕДНИКА""","Использовать промежуточный объект-переносчик.|а) Использовать промежуточный объект, переносящий или передающий действие.|б) На время присоединить к объекту другой (легко удаляемый) объект.)"
ПРИНЦИП САМООБСЛУЖИВАНИЯ,"а) Объект должен сам себя обслуживать, выполняя вспомогательные и ремонтные операции.|б) Использовать отходы (энергии, вещества)."
ПРИНЦИП КОПИРОВАНИЯ,"а) Вместо недоступного, сложного, дорогостоящего, неудобного или хрупкого объекта использовать его упрощенные и дешевые копии.|б) Заменить объект или систему объектов их оптическими копиями (изображениями). Использовать при этом изменение масштаба (увеличить или уменьшить копии).|в) Если используются видимые оптические копии, перейти к копиям инфракрасным или ультрафиолетовым."
ДЕШЕВАЯ НЕДОЛГОВЕЧНОСТЬ ВЗАМЕН ДОРОГОЙ ДОЛГОВЕЧНОСТИ,"Заменить дорогой объект набором дешевых объектов, поступившись при этом некоторыми качествами (например, долговечностью)."
ЗАМЕНА МЕХАНИЧЕСКОЙ СХЕМЫ,"а) Заменить механическую систему оптической, акустической или ""запаховой"".|б) Использовать электрические, магнитные и электромагнитные поля для взаимодействия с объектом.|в) Перейти от неподвижных полей к движущимся, от фиксированных - к меняющимся по времени, от неструктурных - к имеющим определенную структуру.|г) Использовать поля в сочетании с ферромагнитными частицами."
ИСПОЛЬЗОВАНИЕ ПНЕВМО- И ГИДРОКОНСТРУКЦИЙ,"Вместо твердых частей объекта использовать газообразные и жидкие: надувные и гидронаполняемые, воздушную подушку, гидростатические и гидрореактивные."
ИСПОЛЬЗОВАНИЕ ГИБКИХ ОБОЛОЧЕК И ТОНКИХ ПЛЕНОК,а) Вместо обычных конструкций использовать гибкие оболочки и тонкие пленки.|б) Изолировать объект от внешней среды с помощью гибких оболочек и тонких пленок.
ПРИМЕНЕНИЕ ПОРИСТЫХ МАТЕРИАЛОВ,"а) Выполнить объект пористым или использовать дополнительные пористые элементы (вставки, покрытия и т. п.)|б) Если объект уже выполнен пористым, предварительно заполнить поры каким-то веществом.|Машины всегда строились из плотных (непроницаемых) материалов. Инерция мышления приводит к тому, что задачи, легко решаемые при использовании пористых материалов, зачастую пытаются решить введением специальных устройств и систем, сохраняя все элементы конструкции непроницаемыми. Между тем высокоорганизованной машине присуща проницаемость - примером может служить любой живой организм, начиная с клетки и кончая человеком.||Внутреннее перемещение вещества - одна из важных функций многих машин. ""Грубая"" машина осуществляет эту функцию с помощью труб, насосов и т.п., ""тонкая"" машина - с помощью пористых материалов и молекулярных сил."
ПРИНЦИП ИЗМЕНЕНИЯ ОКРАСКИ,"а) Изменить окраску объекта или внешней среды.|б) Изменить степень прозрачности объекта или внешней среды.|в) Для наблюдения за плохо видимыми объектами или процессами использовать красящие добавки.|г) Если такие добавки уже применяются, использовать меченые атомы."
ПРИНЦИП ОДНОРОДНОСТИ,"Объекты, взаимодействующие с данным объектом, должны быть сделаны из того же материала (или близкого ему по свойствам)."
ПРИНЦИП ОТБРОСА И РЕГЕНЕРАЦИИ ЧАСТЕЙ,"а) Выполнившая свое назначение или ставшая ненужной часть объекта должна быть отброшена (растворена, испарена и т. д.) или видоизменена непосредственно в ходе работы.|б) Расходуемые части объекта должны быть восстановлены непосредственно в ходе работы."
ИЗМЕНЕНИЕ ФИЗИКО-ХИМИЧЕСКИХ ПАРАМЕТРОВ ОБЪЕКТА,а) Изменить агрегатное состояние объекта.|б) Изменить концентрацию или консистенцию.|в) Изменить степень гибкости.|г) Изменить температуру.
ПРИМЕНЕНИЕ ФАЗОВЫХ ПЕРЕХОДОВ,"Использовать явления, возникающие при фазовых переходах, например изменение объема, выделение или поглощение тепла и т. д."
ПРИМЕНЕНИЕ ТЕРМИЧЕСКОГО РАСШИРЕНИЯ,"а) Использовать термическое расширение (или сжатие) материалов.|б) Если термическое расширение уже используется, применить несколько материалов с разными коэффициентами термического расширения."
ПРИМЕНЕНИЕ СИЛЬНЫХ ОКИСЛИТЕЛЕЙ,"а) Заменить обычный воздух обогащенным.|б) Заменить обогащенный воздух кислородом.|в) Воздействовать на воздух или кислород ионизирующими излучениями.|г) Использовать озонированный кислород.|д) Заменить озонированный (или ионизированный) кислород озоном.|Основная цель этой цепи приемов - повысить интенсивность процессов. В качестве примеров можно назвать способ спекания и обжига дисперсного материала с применением интенсификации процесса горения путем продувки воздухом, обогащенным кислородом; плазменно-дуговую резку нержавеющих сталей, при которой в качестве режущего газа берут чистый кислород; интенсификацию процесса агломерации руд путем ионизации окислителя и газообразного топлива перед подачей в слой шихты и т.д."
ПРИМЕНЕНИЕ ИНЕРТНОЙ СРЕДЫ,а) Заменить обычную среду инертной.|б) Вести процесс в вакууме.|Этот прием можно считать антиподом предыдущего.
ПРИМЕНЕНИЕ КОМПОЗИЦИОННЫХ МАТЕРИАЛОВ,Перейти от однородных материалов к композиционным.